candidate_definition_id	article_id	source_code	article_number	etat	date_debut	date_fin	sampling_stratum	noise_risk	matched_definition_patterns	matched_pattern_categories	candidate_score	pattern	definition_type	extraction_confidence	item_number	defined_subject	term_candidate	definition_candidate	scope_text	scope_label	inferred_scope	raw_body	manual_label	gold_term	gold_definition	gold_scope_text	gold_scope_label	gold_inferred_scope	gold_definition_type	correction_notes	source_file
DRAFT_CODE_G_N_RAL_DE_LA_PROPRI_T_DES_PERSONNES_PUBLIQUES_R3211_15_ARTI000038929095_1002	LEGIARTI000038929095	Code général de la propriété des personnes publiques	R3211-15	VIGUEUR	2019-09-01	2999-01-01	low	low	terme_colon_definition	strong	3	terme_colon_definition	explicit	high	3°		Catégorie 3	les logements locatifs ou les résidences de logement pour étudiants financés en prêt locatif social, les logements occupés par les titulaires de contrats de location-accession, les logements faisant l'objet d'un bail réel solidaire lorsqu'ils ne font pas partie des catégories 1 ou 2 mentionnées au 1° et au 2° du présent II et ceux faisant l'objet d'une opération d'accession mentionnés au VIII de l'article L. 3211-7. III. – Dans les limites fixées au IV, la décote est d'autant plus élevée que les cr		unspecified	article	3° Catégorie 3 : les logements locatifs ou les résidences de logement pour étudiants financés en prêt locatif social, les logements occupés par les titulaires de contrats de location-accession, les logements faisant l'objet d'un bail réel solidaire lorsqu'ils ne font pas partie des catégories 1 ou 2 mentionnées au 1° et au 2° du présent II et ceux faisant l'objet d'une opération d'accession mentionnés au VIII de l'article L. 3211-7. III. – Dans les limites fixées au IV, la décote est d'autant plus élevée que les cr									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/02/LEGITEXT000006070299/article/LEGI/ARTI/00/00/38/92/90/LEGIARTI000038929095.xml
DRAFT_CODE_G_N_RAL_DES_IMP_TS_1519_F_ARTI000051764703_3000	LEGIARTI000051764703	Code général des impôts	1519 F	VIGUEUR	2025-06-19	2999-01-01	low	low	s'entend de	strong	3	s'entend de	explicit	high			La date de mise en service	celle du premier raccordement au réseau électrique		unspecified	article	La date de mise en service s'entend de celle du premier raccordement au réseau électrique									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/06/95/LEGITEXT000006069577/article/LEGI/ARTI/00/00/51/76/47/LEGIARTI000051764703.xml
DRAFT_CODE_DE_L_ENTR_E_ET_DU_S_JOUR_DES_TRANGERS_ET_DU_DROIT_D_ASI_ANNEXE_10_ARTI000049820920_1000	LEGIARTI000049820920	Code de l'entrée et du séjour des étrangers et du droit d'asile	Annexe 10	VIGUEUR	2024-07-01	2999-01-01	low	low	terme_colon_definition	strong	3	terme_colon_definition	explicit	high			pour continuer l'activité créée	une copie du contrat de bail ou de domiciliation, un bordereau de situation fiscale de l'entreprise (P 237), une attestation d'assurance portant, selon la nature de l'activité, sur le local occupé, sur le véhicule ou sur tout autre bien nécessaire à l'activité, un avis d'imposition sur le revenu, si vous avez le statut de salarié, les fiches de salaire des trois derniers mois ou, en l'absence d'avis d'imposition, des douze derniers mois, ou, si vous n'avez pas le statut de salarié, un extrait du li		unspecified	article	pour continuer l'activité créée : une copie du contrat de bail ou de domiciliation, un bordereau de situation fiscale de l'entreprise (P 237), une attestation d'assurance portant, selon la nature de l'activité, sur le local occupé, sur le véhicule ou sur tout autre bien nécessaire à l'activité, un avis d'imposition sur le revenu, si vous avez le statut de salarié, les fiches de salaire des trois derniers mois ou, en l'absence d'avis d'imposition, des douze derniers mois, ou, si vous n'avez pas le statut de salarié, un extrait du li									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/01/LEGITEXT000006070158/article/LEGI/ARTI/00/00/49/82/09/LEGIARTI000049820920.xml
DRAFT_CODE_DE_L_ENTR_E_ET_DU_S_JOUR_DES_TRANGERS_ET_DU_DROIT_D_ASI_ANNEXE_10_ARTI000049820920_1001	LEGIARTI000049820920	Code de l'entrée et du séjour des étrangers et du droit d'asile	Annexe 10	VIGUEUR	2024-07-01	2999-01-01	low	low	terme_colon_definition	strong	3	terme_colon_definition	explicit	high			A Saint-Barthélemy et à Saint-Martin	"L'avis concernant la viabilité économique du projet est rendu par le service compétent localement en matière d'accès au travail des étrangers 8. Dans les îles Wallis et Futuna, en Polynésie française et en Nouvelle-Calédonie : L'avis concernant la viabilité économique du projet est rendu par le service compétent localement en matière d'accès au travail des étrangers. 4 Titre de séjour pour motif professionnel CSP portant la mention "" passeport talent "" délivrée à l'étranger salarié qualifié et dip"		unspecified	article	"A Saint-Barthélemy et à Saint-Martin : L'avis concernant la viabilité économique du projet est rendu par le service compétent localement en matière d'accès au travail des étrangers 8. Dans les îles Wallis et Futuna, en Polynésie française et en Nouvelle-Calédonie : L'avis concernant la viabilité économique du projet est rendu par le service compétent localement en matière d'accès au travail des étrangers. 4 Titre de séjour pour motif professionnel CSP portant la mention "" passeport talent "" délivrée à l'étranger salarié qualifié et dip"									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/01/LEGITEXT000006070158/article/LEGI/ARTI/00/00/49/82/09/LEGIARTI000049820920.xml
DRAFT_CODE_DE_L_ENTR_E_ET_DU_S_JOUR_DES_TRANGERS_ET_DU_DROIT_D_ASI_ANNEXE_10_ARTI000049820920_1002	LEGIARTI000049820920	Code de l'entrée et du séjour des étrangers et du droit d'asile	Annexe 10	VIGUEUR	2024-07-01	2999-01-01	low	low	terme_colon_definition	strong	3	terme_colon_definition	explicit	high			si vous êtes salarié d'une jeune entreprise innovante	tout document fiscal établissant la qualité de jeune entreprise innovante conformément à l'article 44 sexies 0A du code général des impôts		unspecified	article	si vous êtes salarié d'une jeune entreprise innovante : tout document fiscal établissant la qualité de jeune entreprise innovante conformément à l'article 44 sexies 0A du code général des impôts									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/01/LEGITEXT000006070158/article/LEGI/ARTI/00/00/49/82/09/LEGIARTI000049820920.xml
DRAFT_CODE_DE_L_ENTR_E_ET_DU_S_JOUR_DES_TRANGERS_ET_DU_DROIT_D_ASI_ANNEXE_10_ARTI000049820920_1004	LEGIARTI000049820920	Code de l'entrée et du séjour des étrangers et du droit d'asile	Annexe 10	VIGUEUR	2024-07-01	2999-01-01	low	low	terme_colon_definition	strong	3	terme_colon_definition	explicit	high			A Saint-Barthélemy et à Saint-Martin	"L'attestation du ministère chargé de l'économie sur le caractère réel et sérieux du projet de création d'entreprise est remplacée par l'attestation du service compétent localement en matière d'accès au travail des étrangers. 7. Dans les îles Wallis et Futuna, en Polynésie française et en Nouvelle-Calédonie : Titre de séjour non applicable. 10 Titre de séjour pour motif professionnel CSP portant la mention "" passeport talent "" délivrée à l'étranger justifiant d'un projet économique innovant L. 421-"		unspecified	article	"A Saint-Barthélemy et à Saint-Martin : L'attestation du ministère chargé de l'économie sur le caractère réel et sérieux du projet de création d'entreprise est remplacée par l'attestation du service compétent localement en matière d'accès au travail des étrangers. 7. Dans les îles Wallis et Futuna, en Polynésie française et en Nouvelle-Calédonie : Titre de séjour non applicable. 10 Titre de séjour pour motif professionnel CSP portant la mention "" passeport talent "" délivrée à l'étranger justifiant d'un projet économique innovant L. 421-"									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/01/LEGITEXT000006070158/article/LEGI/ARTI/00/00/49/82/09/LEGIARTI000049820920.xml
DRAFT_CODE_DE_L_ENTR_E_ET_DU_S_JOUR_DES_TRANGERS_ET_DU_DROIT_D_ASI_ANNEXE_10_ARTI000049820920_1005	LEGIARTI000049820920	Code de l'entrée et du séjour des étrangers et du droit d'asile	Annexe 10	VIGUEUR	2024-07-01	2999-01-01	low	low	terme_colon_definition	strong	3	terme_colon_definition	explicit	high			A Saint-Barthélemy et à Saint-Martin	L'attestation du ministère chargé de l'économie sur le caractère sur le caractère innovant du projet économique est remplacée par l'attestation du service compétent localement en matière d'accès au travail des étrangers. 7. Dans les îles Wallis et Futuna, en Polynésie française et en Nouvelle-Calédonie : -L'attestation du ministère chargé de l'économie sur le caractère sur le caractère innovant du projet économique est remplacée par l'attestation du service compétent localement en matière d'accès		unspecified	article	A Saint-Barthélemy et à Saint-Martin : L'attestation du ministère chargé de l'économie sur le caractère sur le caractère innovant du projet économique est remplacée par l'attestation du service compétent localement en matière d'accès au travail des étrangers. 7. Dans les îles Wallis et Futuna, en Polynésie française et en Nouvelle-Calédonie : -L'attestation du ministère chargé de l'économie sur le caractère sur le caractère innovant du projet économique est remplacée par l'attestation du service compétent localement en matière d'accès									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/01/LEGITEXT000006070158/article/LEGI/ARTI/00/00/49/82/09/LEGIARTI000049820920.xml
DRAFT_CODE_DE_L_ENTR_E_ET_DU_S_JOUR_DES_TRANGERS_ET_DU_DROIT_D_ASI_ANNEXE_10_ARTI000049820920_1006	LEGIARTI000049820920	Code de l'entrée et du séjour des étrangers et du droit d'asile	Annexe 10	VIGUEUR	2024-07-01	2999-01-01	low	low	terme_colon_definition	strong	3	terme_colon_definition	explicit	high			en Polynésie française et en Nouvelle-Calédonie	"Les justificatifs de moyens d'existence se bornent à démontrer que le demandeur disposera de ressources suffisantes pendant son séjour pour subvenir à ses propres besoins et, le cas échéant, à ceux des membres de sa famille, indépendamment des prestations et des allocations prévues par la réglementation locale. 15 Titre de séjour pour motif professionnel CSP portant la mention "" passeport talent (famille) "" délivrée au conjoint et enfants du couple L. 421-22 L. 422-12 1. Pièces à fournir dans tous"		unspecified	article	"en Polynésie française et en Nouvelle-Calédonie : Les justificatifs de moyens d'existence se bornent à démontrer que le demandeur disposera de ressources suffisantes pendant son séjour pour subvenir à ses propres besoins et, le cas échéant, à ceux des membres de sa famille, indépendamment des prestations et des allocations prévues par la réglementation locale. 15 Titre de séjour pour motif professionnel CSP portant la mention "" passeport talent (famille) "" délivrée au conjoint et enfants du couple L. 421-22 L. 422-12 1. Pièces à fournir dans tous"									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/01/LEGITEXT000006070158/article/LEGI/ARTI/00/00/49/82/09/LEGIARTI000049820920.xml
DRAFT_CODE_DE_L_ENTR_E_ET_DU_S_JOUR_DES_TRANGERS_ET_DU_DROIT_D_ASI_ANNEXE_10_ARTI000049820920_1007	LEGIARTI000049820920	Code de l'entrée et du séjour des étrangers et du droit d'asile	Annexe 10	VIGUEUR	2024-07-01	2999-01-01	low	low	terme_colon_definition	strong	3	terme_colon_definition	explicit	high			si vous êtes boursier dans votre pays d'origine	l'attestation de bourse de l'organisme payeur du pays d'origine précisant le montant et la durée de la bourse		unspecified	article	si vous êtes boursier dans votre pays d'origine : l'attestation de bourse de l'organisme payeur du pays d'origine précisant le montant et la durée de la bourse									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/01/LEGITEXT000006070158/article/LEGI/ARTI/00/00/49/82/09/LEGIARTI000049820920.xml
DRAFT_CODE_DE_L_ENTR_E_ET_DU_S_JOUR_DES_TRANGERS_ET_DU_DROIT_D_ASI_ANNEXE_10_ARTI000049820920_1008	LEGIARTI000049820920	Code de l'entrée et du séjour des étrangers et du droit d'asile	Annexe 10	VIGUEUR	2024-07-01	2999-01-01	low	low	terme_colon_definition	strong	3	terme_colon_definition	explicit	high			si vous disposez de ressources suffisantes	l'attestation bancaire de solde créditeur suffisant		unspecified	article	si vous disposez de ressources suffisantes : l'attestation bancaire de solde créditeur suffisant									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/01/LEGITEXT000006070158/article/LEGI/ARTI/00/00/49/82/09/LEGIARTI000049820920.xml
DRAFT_CODE_DE_L_ENTR_E_ET_DU_S_JOUR_DES_TRANGERS_ET_DU_DROIT_D_ASI_ANNEXE_10_ARTI000049820920_1009	LEGIARTI000049820920	Code de l'entrée et du séjour des étrangers et du droit d'asile	Annexe 10	VIGUEUR	2024-07-01	2999-01-01	low	low	terme_colon_definition	strong	3	terme_colon_definition	explicit	high			selon votre projet professionnel	"tout justificatif d'un projet de création d'entreprise dans un domaine correspondant à votre formation. A Mayotte : Si vous êtes né avant le 1er janvier 1987 et avez contracté légalement un mariage civil polygame à Mayotte avant le 5 juin 2010, vous n'avez pas à produire la déclaration sur l'honneur de non polygamie en France. 27 Titre de séjour pour motif d'études CST portant la mention "" recherche d'emploi ou création d'entreprise "" délivrée au titulaire d'une CSP portant la mention "" passeport ta"		unspecified	article	"selon votre projet professionnel : tout justificatif d'un projet de création d'entreprise dans un domaine correspondant à votre formation. A Mayotte : Si vous êtes né avant le 1er janvier 1987 et avez contracté légalement un mariage civil polygame à Mayotte avant le 5 juin 2010, vous n'avez pas à produire la déclaration sur l'honneur de non polygamie en France. 27 Titre de séjour pour motif d'études CST portant la mention "" recherche d'emploi ou création d'entreprise "" délivrée au titulaire d'une CSP portant la mention "" passeport ta"									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/01/LEGITEXT000006070158/article/LEGI/ARTI/00/00/49/82/09/LEGIARTI000049820920.xml
DRAFT_CODE_DE_L_ENTR_E_ET_DU_S_JOUR_DES_TRANGERS_ET_DU_DROIT_D_ASI_ANNEXE_10_ARTI000049820920_1010	LEGIARTI000049820920	Code de l'entrée et du séjour des étrangers et du droit d'asile	Annexe 10	VIGUEUR	2024-07-01	2999-01-01	low	low	terme_colon_definition	strong	3	terme_colon_definition	explicit	high			selon votre projet professionnel	"tout justificatif d'un projet de création d'entreprise dans un domaine correspondant à vos recherches. A Mayotte : Si vous êtes né avant le 1er janvier 1987 et avez contracté légalement un mariage civil polygame à Mayotte avant le 5 juin 2010, vous n'avez pas à produire la déclaration sur l'honneur de non polygamie en France. 28 Titre de séjour pour motif d'études CST portant la mention "" recherche d'emploi ou création d'entreprise "" délivrée à l'étranger ayant quitté le territoire français à l'issu"		unspecified	article	"selon votre projet professionnel : tout justificatif d'un projet de création d'entreprise dans un domaine correspondant à vos recherches. A Mayotte : Si vous êtes né avant le 1er janvier 1987 et avez contracté légalement un mariage civil polygame à Mayotte avant le 5 juin 2010, vous n'avez pas à produire la déclaration sur l'honneur de non polygamie en France. 28 Titre de séjour pour motif d'études CST portant la mention "" recherche d'emploi ou création d'entreprise "" délivrée à l'étranger ayant quitté le territoire français à l'issu"									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/01/LEGITEXT000006070158/article/LEGI/ARTI/00/00/49/82/09/LEGIARTI000049820920.xml
DRAFT_CODE_DE_L_ENTR_E_ET_DU_S_JOUR_DES_TRANGERS_ET_DU_DROIT_D_ASI_ANNEXE_10_ARTI000049820920_1012	LEGIARTI000049820920	Code de l'entrée et du séjour des étrangers et du droit d'asile	Annexe 10	VIGUEUR	2024-07-01	2999-01-01	low	low	terme_colon_definition	strong	3	terme_colon_definition	explicit	high			si vous êtes pris en charge par un tiers	les attestations bancaires de virements réguliers ou une attestation sur l'honneur de versement des sommes permettant d'atteindre le montant requis		unspecified	article	si vous êtes pris en charge par un tiers : les attestations bancaires de virements réguliers ou une attestation sur l'honneur de versement des sommes permettant d'atteindre le montant requis									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/01/LEGITEXT000006070158/article/LEGI/ARTI/00/00/49/82/09/LEGIARTI000049820920.xml
DRAFT_CODE_DE_L_ENTR_E_ET_DU_S_JOUR_DES_TRANGERS_ET_DU_DROIT_D_ASI_ANNEXE_10_ARTI000049820920_1014	LEGIARTI000049820920	Code de l'entrée et du séjour des étrangers et du droit d'asile	Annexe 10	VIGUEUR	2024-07-01	2999-01-01	low	low	terme_colon_definition	strong	3	terme_colon_definition	explicit	high			selon votre projet professionnel	tout justificatif d'un projet de création d'entreprise dans un domaine correspondant à votre formation. A Mayotte : Si vous êtes né avant le 1er janvier 1987 et avez contracté légalement un mariage civil polygame à Mayotte avant le 5 juin 2010, vous n'avez pas à produire la déclaration sur l'honneur de non polygamie en France. Dans les îles Wallis et Futuna, en Polynésie française et en Nouvelle-Calédonie : Titre de séjour non applicable. 29 Titre de séjour pour motif familial CST portant la mention		unspecified	article	selon votre projet professionnel : tout justificatif d'un projet de création d'entreprise dans un domaine correspondant à votre formation. A Mayotte : Si vous êtes né avant le 1er janvier 1987 et avez contracté légalement un mariage civil polygame à Mayotte avant le 5 juin 2010, vous n'avez pas à produire la déclaration sur l'honneur de non polygamie en France. Dans les îles Wallis et Futuna, en Polynésie française et en Nouvelle-Calédonie : Titre de séjour non applicable. 29 Titre de séjour pour motif familial CST portant la mention									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/01/LEGITEXT000006070158/article/LEGI/ARTI/00/00/49/82/09/LEGIARTI000049820920.xml
DRAFT_CODE_DE_L_ENTR_E_ET_DU_S_JOUR_DES_TRANGERS_ET_DU_DROIT_D_ASI_ANNEXE_10_ARTI000049820920_1015	LEGIARTI000049820920	Code de l'entrée et du séjour des étrangers et du droit d'asile	Annexe 10	VIGUEUR	2024-07-01	2999-01-01	low	low	terme_colon_definition	strong	3	terme_colon_definition	explicit	high			justificatifs de présence continue en France depuis l'entrée	le séjour doit être justifié par au moins un document pour chaque année émanant d'une administration publique (service social, établissement scolaire, etc.). 4. Pièces à fournir pour la délivrance d'une CSP sur le fondement de l'article L. 423-21 : -pièces prévues aux points 1 et 3		unspecified	article	justificatifs de présence continue en France depuis l'entrée : le séjour doit être justifié par au moins un document pour chaque année émanant d'une administration publique (service social, établissement scolaire, etc.). 4. Pièces à fournir pour la délivrance d'une CSP sur le fondement de l'article L. 423-21 : -pièces prévues aux points 1 et 3									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/01/LEGITEXT000006070158/article/LEGI/ARTI/00/00/49/82/09/LEGIARTI000049820920.xml
